Langue,Glottocode,Famille linguistique,Pays,Sexe,Age
Afrikaans,afri1274,Indo-européenne,Afrique du Sud,F,58
Amarasi,koto1251,Austronésienne,Timor,F,25
Espagnol d’Argentine,amer1254,Indo-européenne,Argentine,M,49
Biélorusse,cent1954,Indo-européenne,Biélorussie,M,30
Malais du Brunei,brun1243,Austronésienne,Brunei,F,22
Sarde de Cagliari,meri1242,Indo-européenne,Italie,F,73
Castilian Spanish,cast1244,Indo-européenne,Espagne,F,NA
Arrernte central,east2379,Pama-Nyungan,Australie,F,NA
Gayo,gayo1244,Austronésienne,Indonésie,M,25
Basque de Goizueta,basq1248,Basque,Espagne,F,NA
Indonésien des Bajau (Lombok de l’est),indo1317,Austronésienne,Indonésie,F,22
Trique d’Itunyoso,sanm1298,Oto-mangue,Mexique,M,27
Kazakh,kaza1248,Turcique,Kazakhstan,F,30
Mavea,mafe1237,Austronésienne,Vanuatu,F,62
Sasak dialecte de Meno-Mené,meno1251,Austronésienne,Indonésie,M,23
Seenku,nort2820,Mandée,Mali,M,27
Tamambo,malo1243,Austronésienne,Vanuatu,F,27
Ukrainien,sout2604,Indo-européenne,Ukraine,M,38
