Label descriptif,&,Fréquence,&,Label descriptif,&,Fréquence,\\
Trill,&,1117,&,Trill géminé,&,9,\\
Trill,&,434,&,Tap rétrofexe,&,6,\\
Trill/tap,&,54,&,Trill uvulaire,&,6,\\
Trill/flap,&,28,&,Trill non voisé,&,4,\\
Stop,&,22,&,Tap non voisé,&,3,\\
Tap/flap,&,22,&,Trill/fricative,&,3,\\
Flap,&,20,&,Trill rétroflexe,&,2,\\
Approximante rétroflexe,&,19,&,Trill syllabique,&,2,\\
Trill palatalisé,&,13,&,Approximante,&,1,\\
Stop non voisé,&,8,&,Liquide latérale,&,1,\\
Trill/flap rétroflexe,&,8,&,Trill glottalisé,&,1,\\
